Emotion,clean_text
sadness,find dog missing
neutral,work nearly month feel job
anger,force eat something like example parents always twaddle whine eat food
neutral,alright
sadness,friend mine driving car ahead died car accident
joy,never bodmin seen many faces many happy faces one time
neutral,hi kenji
fear,accident hurt eye afraid injured badly
anger,one best friends accused giving early problems casual remark side angry hurt
anger,entrusted friend delivery money father however misused money
anger,shut car listen get told hurry want waste time road
joy,school one thought could pass mce end year name announced radio passed happiest person
neutral,definitely mother mother definitely matriarch bigger family
anger,something stolen
neutral,hi tell something
anger,want cross guest feel like dodging cars scooters
sadness,mention thesis due date coming thesis even close done
joy,good friend mine away three months met ran embraced
anger,lancashire members furious heard gooch england selectors axed red rose favourite phil defreitas preferring essex pacemen neil foster mark ilott
joy,learnt accepted university
anger,easy ha easy cheat
anger,get angry brothers sisters something like know still tease
joy,sensed strong feeling joy plant working place got message admitted full time student higher agricultural institute
fear,anybody swears allegiance united must share sense dismay happened still going almost sense revulsion
joy,pick around
fear,finding alone public toilet block man known great psychological disturbances
sadness,worst thing tore best shirt
joy,part feel elated close tears
neutral,hey today
neutral,got
sadness,deeply felt could lose person love best foolishness
neutral,high time talk may help clear mists
joy,fortnight ago declared successful exam year four bombay succeeded joy knew bounds
anger,peter pack read
joy,ok let go
sadness,unfortunately charged dui university
joy,oh thanks lot
fear,climbed sides every time making new discoveries finding new surprises delights let confess secret places recoiled horror
joy,well leave miss
joy,feeling happy
neutral,go ahead
fear,getting lost strange place
anger,hooted learning drive
neutral,one
fear,home alone felt super natural force dangerous people close
sadness,quite sad hear right hon friend minister agriculture fisheries food say prepared sit negotiations months
fear,father suffered dizziness hospitalized physician know wrong stools black thought could cancer
neutral,well feel little tired
joy,boyfriend made
joy,bulgaria football match france
neutral,play online games full violence
sadness,told girlfriend speaking ill real let
sadness,dog years lord grey died sleep death caused deeper sadness thought
sadness,meeting ended started talking would next discussion many tests coming week could meeting thought would understand always done understand problem thought many activities reaction made burst tears
anger,realized person courting really side long time already deceived let deceive
fear,alone someone tried break back door
neutral,hi charles matter
anger,arrested
neutral,beauty tree
joy,feeling super
neutral,thanks stopping
joy,perfect taste
neutral,nothing smells rat told right guy
neutral,sink
sadness,oh right supposed deliver brief account tomorrow know things need share gosh know things really busy today time manage squeeze might lunch break
fear,charles horrified conscious brother disqualified man god leading invasion celibate legitimate heir
neutral,nice
anger,friend promised call certain time expected call impatiently vain
fear,walking dark saw something strange
neutral,yes kind perfect plastic wrap comes new products look even bar code price sticker looked brand new
sadness,seems nothing except
anger,girl friend understand angry problems seperated could resign
joy,moment heard result examination proved succeeded second year study
fear,every time imagine someone love could contact serious illness even death
neutral,last year helped trouble
joy,girl wanted much said yes fell love
joy,bang cue strode stage feeling none terror crippled last performance excited cheers children bringing beaming smile face
sadness,trying girl really liked cared thought felt way like idea wanted stay friends
fear,stepped python snake unknowingly sleeping near baobab tree
joy,lee ian shown takes earn first year professional terms delighted agreed join us
fear,going dentist
anger,yes give much either still hungry
sadness,girlfriend ended relationship abrupt unexpected manner
joy,true wonderful advance people transformed wilderness home men women live comfortably elegantly happily contented disposition
fear,going threatened regularly two punk girls
anger,drinking glass water found cockroach walking glass
neutral,jack wonders whether linda likes
fear,people think changed cause appeal grown drake gt gt gt gt
sadness,may th boyfriend went december told passed away cancer oesophagus
joy,thanks invitation
fear,never run away problem face face face cause catch never let goo rip jane kane
anger,obviously unjustly treated possibility elucidating
joy,maybe thank
fear,sick relatives thought bewitched felt like dying
joy,seem delighted see said betty
joy,come visit time
anger,felt wave exasperation rise within
anger,son really taken never keeps mischief
joy,perfect really hits spot
anger,absolutely incorrect town monday night
fear,jumped three men deserted area
joy,yeah impressed tom hanks performance movie
fear,shooting started lay protect flying bullets incident occured way feira zambia army patrols rhodesia war
sadness,left part time job
joy,talk friends
anger,feel shameful behavior
sadness,son diagnosed cerebral palsy age would endure much labelling stigma discrimination even though case relatively mild
fear,walking thick forest big snake distance four metres
sadness,well sad tess reason
neutral,oh
anger,michael stein trying unsuccessfully calm irate customer arguing bill
sadness,surely someone somewhere knows killed ann heron person could ease pain heartbroken family
joy,selected start form chilumba secondary school pupils among successful family history showed done better brothers passed repeating several times
neutral,said bother coming back said fine
neutral,hot
sadness,help know need scholarship
joy,surprise got know got good high school graduation marks
sadness,mom today playing football love football
anger,wrong cigarette thing go crazy
sadness,oh terrible yuri terrible even assess damages business country either buried mud danger getting kidnapped believe mess
anger,dare tell
joy,little cat sick liked much went veterinary told tend really recovered health everybody said saved life
anger,things first thing happened supposed go romantic dinner one year anniversary stood
sadness,afraid going gym workout
joy,yeah oh god still first date right
fear,conflict parents possibility interrupt studies
anger,untidy work led rows rows led confrontation confrontation led boy soundly thrashed exasperated mother
neutral,hi kate
sadness,sudden death one parents
fear,house fire saved dog afraid fire verging panic
neutral,late night
anger,verdict monday indignant cannes president alain pedretti described scandalous
fear,months later gough whitlam brought australian army home said experienced horrors one left little piece viet
neutral,yes
anger,need help jerk
joy,got results passed form iii exams expected well
neutral,definitely
joy,never sold much growth year phenomenal captured market last year strategy working
fear,attacked standing doorway pack dogs alsatians farm dogs escape route blocked shut fence
joy,oh great hope spend spring festival beijing
anger,mean line people
joy,went home visited family friends
sadness,understood james despair enormity ruin loss edward already meaning
joy,know mean could use vacation
neutral,hanged lying
joy,journalists made pilgrimage dovercourt team bbc caused greatest excitement
joy,going concert
joy,joy family gather around home special occasions christmas etc really gives joy see family relatives observe natures productivity process going centuries
joy,ok see tomorrow
sadness,recent break girlfriend together year overseas discovered phone work
sadness,operation stay bed long time
fear,designed convince readership horror subject matter
fear,hide behind wonder would cause people destroy
sadness,six years old favourite cat died
anger,someone told lie stolen money
anger,class leader told university let us go lectures english class
joy,economic crisis got unexpected sum money
sadness,unfortunately chris health suffered became depressed
anger,studying chemistry friend became angry eachother fed
sadness,gradmother died felt sad feeling started worse
neutral,planning return china graduation
neutral,settling start family anyone want get married
fear,jayowen players like jay pinch punch grab conkers twist nipples pull hairs looked horror
sadness,group thirty forty downcast men stood apart canter thin ring heads arms hanging slack attitudes despair
anger,happened tram older people started grumble young people immediately left seat
joy,sick husband bought piece cake
neutral,oh well looked around space waited nobody came sorry taken place
fear,meanwhile flood letters different sort anxious hong kong citizens every newspaper office continues
sadness,sorry sally fault
sadness,oh sorry see stop sign corner mean
neutral,know even worked sweat
sadness,walking along new asia stairway chung chi college lecture saw put one arm around shoulder laugher brightly joyfully dare want look walked quickly interest talking disappeared wanted remain silent want know left went expected happen
joy,went fetch girl friend station train arrived saw descending running felt glad
neutral,tomorrow
neutral,oh
sadness,sorry caused much trouble
joy,happened th standard paddy crops bad shape rained water well sad mood came conclusion would ignore paddy field hours rained one hour tense time rain brought tremendous pleasure
sadness,everything gone wrong
neutral,wow
anger,really fed larry biggest airhead ever met always makes careless mistakes pain work
joy,went see entrance examination results university rejoyced success
sadness,examination results satisfactory even though tried best started wondering abilities major subject however know choose major subject change
joy,amusement false assumption seemed ease tension us
sadness,couple days ago go back funeral
anger,situation car stolen
joy,admitted university niece born
anger,let go school please sick medicine sick soup sick sick
sadness,death close friend
fear,slept first time alone house live man phoned wanted something afraid
joy,aticle published
sadness,death grandmother
joy,ok try pinto want rent car one week
sadness,relatives often carry enormous personal burdens example grief losing child expected bright future tragic decline senility loved companion
sadness,one night called told father close friend died visited friend home attending funeral felt sad
joy,elaine exclaimed delight evident entered open plan living dining room decorated fresh lemon blue fabric christina chosen
anger,date girlfriend time place fixed asked phone hour later midnight want disturb family waited several hours call call night
anger,example approved continue studies moscow university matter highest marks general best records candidates
sadness,started job market bad right optimistic
sadness,father ill
joy,heard grapevine getting married
neutral,radio many comercials
neutral,thank suppose go see doctor
sadness,received letter telling mother ill
joy,thanks beautiful
fear,chinareport china right regarding listen rhetoric mongering disguising oil gas motives
joy,knew last problems making journey wanting make long time
joy,felt joy two twin sisters born
fear,uncle even messaging missing life kind messing
anger,everybody wants trailed silence lily eyelids fluttering holding back offended tears
sadness,glanced saw auguste anguished eyes thought understood
anger,father failed send transport money closure school
fear,walking friend house blocks house car began follow waited passed rotateed little stopped way changed completely way car went following turned corner running hid garden house waiting car pass went back home terribly afraid
neutral,hello tom
fear,felt fear friend broke abandoned military base los angeles summer feared want caught
fear,late flight made miss seeing thechrishero largo thank chris coming
sadness,getting worse eating house home tried talking goes one ear makes home fine really gets yesterday walked living room raw company last straw
fear,giving seminar rather large audience
anger,official meeting asked question person response directed chairman
sadness,father told letter mother ill
joy,day friends mine decided go galicia holiday
sadness,sorry thought stop
fear,small children two three tend alarmed banana skin fall amused yet
anger,roommate boyfriend assaulted threatening calling names pushing around
sadness,allen last found crevice secure enough trust looked find peering little courtyard onto rain wet backs dejected horses
sadness,felt powerless help poor know
sadness,heard death somebody liked much present either see person try share emotions friends
neutral,sam sorry birthday yesterday completely forgot
sadness,however obvious deep sadness within
anger,single minded uncompromising work sometimes provoked exasperation among colleagues feeling immediately tempered admiration felt
neutral,well watch says five past two use rely gaining losing last days
anger,extremely indignant
fear,isaiah far oppression fear come near promise
sadness,joseph unable follow french waited anguish knowing said
fear,cleo stared contents dismay
fear,guy chased jogging
joy,computer school left name along four others rights one year happy find name medical schhol list
neutral,close first cousins
anger,girl may loved truly refused come occasion another town
anger,angry patient refused take drugs
sadness,feel kind stupid
sadness,child beaten mother
joy,look intense amusement crossed catherine face
neutral,yet
fear,journalists asked manager attend midday conference celtic park expectation brady would commenting dismay anonymous directorial criticism team progress
joy,first pleased soon realised hathor delight killing might lead destruction mankind intended
joy,felt different world
fear,apartment three robberies last month guy upstairs got robbed making fourth
neutral,route
sadness,began read thick book limited time read also lot work cannot keep
joy,hello let introduce new neighbor name andy
sadness,many depressed people withdraw may sleep lot day wakeful nights
fear,uncle taken utc operation cancer lot deaths late every operated scared uncle life
neutral,fine watch movie without popcorn
joy,tempting glimpses become excited design angry failure meet high standards
joy,pretty young undergraduate felt elated
joy,yes yes told feeling ridiculously pleased clearly enjoying first attempt baking cake
sadness,awfully sorry kept waiting long
sadness,girlfriend wanted breakup indefinite amt time said commit fully relationship without going people first boyfriend
anger,feel angry people indifference ability present event stay partial happens
joy,yes would like come later coffee bring family
fear,girlfriend slept lonely hut drunk alcool suddenly soil fell us water although tried hard could find cause
joy,hard say depends love waltz
fear,best movie forest gump doesnt get rated good titanic distantttttt second
anger,coming fast knew seen brake sharply frowning exasperation
sadness,found part time job perhaps help family come difficulties
fear,return sources discovers either primitive celebrations entirely divorced modern sexuality always concealed deathly horror
joy,got first unknown compound sc research happy research based type reactions compounds
joy,responsible community programme last months life delighted involved introducing community action
fear,saw horrified expression however stopped doctor became quite fatherly instead
joy,like maybe next weekend
neutral,rockets
sadness,felt sadness remembered former boyfriend got separated year ago comparing present one things much success
fear,steven
anger,often felt feeling someone stole garment
anger,sure look like black blue
joy,winning race training many weeks running race
neutral,course piece cake believe push ups minute
sadness,watching sunset latest boyfriend left realized would never watch sunsets probaly never see eachother none mattered
anger,happened last night show
neutral,real problem meet people
joy,got letter home
fear,alone room boarding house clock someone knocked violently door
anger,said something boyfriend disagreed walked away without discussing bothered became angry treating way yesterday november
neutral,yes nothing
sadness,person died really friend
joy,take good care
fear,maryland wins odu face carolina ncaa final sunday played tremendous game turtle maryland
joy,secret thing practice succeed
neutral,daughter plans quit present job wants find another says wants get better job higher pay
joy,invitation spend days seaside expenses paid
sadness,right give ticket
sadness,got know death close friend
fear,people wildly shooting next street must leave soon possible
joy,learned admitted study wanted floriculture narrow specialization general one
sadness,glum look face england manager graham taylor says intention quitting
joy,happy found passed flying colours made university
joy,hooked girl kitwe beautiful standards rare bird kind accepted boyfriend
joy,gate park
fear,told thousand times want go haunted house scary
joy,hearing fran wilde introduce bill
neutral,seems quite normal pretty much want
joy,heard got best result school would definately selected university zambia
joy,drop scotch occasional periods self criticism helped become happy time happy anyway
joy,well nice meeting
anger,leave go away
anger,parents let go holidays friends
neutral,afraid
anger,wrong sex course
fear,ex boyfriend threw around dorms talking phone another guy jealous argument thought broke
neutral,country football brand new never learned game younger
sadness,able well chosen english lecture
fear,thirtieth minute gary weaving scored looked like perfectly good goal linesman rule offside everyone dismay
joy,blank
fear,rescued dogs often somewhat nervous people yet may also become excited see example
anger,dad gonna catch cold
anger,tell must go
sadness,sister scholarship norway particularly walked across tarmac get plane looked back us
sadness,funeral friend killed car accident age many friends present well family etc
anger,found annoyance grinding teeth
sadness,scene first heartbreak
sadness,sounded quite sad
joy,month old son happy well
fear,night alone home family members usually get together time someone knocked vigorously door
anger,wrote assignment given less marks friend previously discussed assignment
joy,appeared pregnant several weeks overtime
joy,felt joy came know christ became christian
sadness,watching football game reminds time father still alive watched football games tv together
joy,suppose happy tiny means able surprise people generally seen confident outgoing personality
neutral,sure
sadness,sorry rock bottom price
sadness,lost table tennis game yesterday
joy,really happy group
neutral,hi jason
joy,sauna bath
fear,since war began soviet military commentators including senior serving officers expressing dismay seeing iraq army whose tanks aircraft supplied pounded relentlessly effectively
anger,went dining hall found cooks cleaning plates food blue birds security guards busy eating food supposed
neutral,ok dad coming
sadness,person liked left friend mine several months mutual help profound knowledge
neutral,fine
fear,little nervous never flown
fear,may find stupid let experiment
anger,jennifer davies give break stand dweeb could possibly ace keeps cutting class time
joy,yes hope meet
joy,succeeding helping others
anger,albert offended swung legs athletically bed wincing distant side face
neutral,hey john nice skates new
fear,riding friend car speed km snow covered motorway would liked get
sadness,understood anything lecture
sadness,said good bye girlfriend spent two years developing relationship unsuccessful felt sad
anger,best friend betrayed told people secrets
joy,let enter
sadness,grandmother died
joy,travelling south brasil near end year well settled friends evening somebody also us took purse pints colours us friends beach painted went beach champagne
anger,last week planned play tennis booked tennis court however arrived university gym clerk told court used lessons
fear,boyfriend leaving go home one night deep sense uneasiness unwarranted fear see
fear,scene shooting front house afraid two armed men confronting discover reason incident
fear,much busyness schools staff need dream time also security try ideas without becoming nervous making mistakes afraid failing
fear,exam terrible exam ready yet tell get good marks
joy,noticed meryl streep similar cheekbones jaw structure
joy,sure love idea throw enjoy
fear,yeahh dnt like still ill ride around ya side town wit blood
fear,need always right rt fredericbrussat live creative life must lose wrong joseph chilton pearce
joy,tremayne pink gratification
anger,live sister sometimes angers especially thinks keep apt clean enough
anger,somebody stole brother disco machine
neutral,idea
neutral,oh know thought paint skin something
neutral,yes teenagers want live traditional lives want go fun explore world want develop view life parents usually try discourage often succeed
sadness,last night well one subjects result announced feared would fail finally got results subjects good felt little sad
joy,brothers passed exams able graduate courses
joy,going major production
anger,soldier quarrelled commander may revenge detailed duty two successive nights naturally checked second night found asleep sent cells
fear,afraid tomorrow seen yesterday lived today less
joy,look pale recently
anger,love roy
anger,blake looked exasperated face doctor computer predict going
joy,good news sick relative
anger,read newspaper student lodging fund going build new appartments refugees opinion state affair fractoin students find appartment
anger,saw parents punishing little child something done opinion even done punished
anger,parents allow go social function friends attending
sadness,afraid rent two months
fear,late one night pursued gipsies good intentions
joy,congratulations mr stuart city marathon
anger,appointment downtown person question half hour late
sadness,heard former superior mine died later home home reading newspaper thought interaction longer possible limited scope human life sad
fear,needed recommendation something decided best person get one professor never talked felt lot fear going class ask recommend considering never heard name
anger,friend comes visiting unexpectedly asks coffee refuse give
sadness,sad old woman rose chair dais take coats hang row hooks nailed wall
sadness,know going need find job able stay next semester
anger,ouch hurt
sadness,sorry way could come back hour
fear,friend planned search old documents utensils cellar late night arrived cellar indicated place police years ago found two dead bodies got scared told story
fear,came home discovered someone broken realized probably still
sadness,discovering lillehammer provided musical environment suits taste even though told
anger,stories way grandmother treated mother
sadness,one alone knows others celebrating
fear,practicing wind surf body caught sail trying get leg caught lashing afraid dying asphixia
anger,hungry wanted start eating friend called usually talks long time angry prevented eating
anger,thank much letting keep long
joy,went movie date walked beach alameda spent time afterwards apt
neutral,goodbye
sadness,experienced tears real grief first time granny died
anger,members branch indignant government planted two spies among
sadness,son mother told wanted move vienna take child means rather long distance whole family sad dumbfounded feelings intensified
joy,called invited talk job wanted
joy,great flowers hope like sure color suit new apartment
anger,terrible house
sadness,told friend baby born partial sight first child young mother
sadness,yes really pushed far
fear,someone must buried frightened hand police station
fear,son fell cot age months became nervous thought would cause defects head
sadness,anguished cry tub
fear,also worried manage farm
anger,told several times never listened
fear,continuing disquiet way industry run members express disquiet questioning fitness persons appointed government run
sadness,protagonists unity may despondent loss edc european political community routed
fear,hunting lost fog mountains
anger,go vacation mark come back move well
joy,glad learned student already heard phone believe first
sadness,grandmother died funeral
joy,passed important exam
sadness,perhaps dead tired
sadness,post office sorry sure
sadness,frank gone lucy
neutral,several possible sources might use topic suggest use computer computer give list every scientific journal talks children television
neutral,true wondering learn anything job
fear,lord fell kingdoms lands around judah make war jehoshaphat
neutral,link
joy,agree
neutral,wait
sadness,afraid parking allowed
anger,got receipt paid spot
fear,terror brings violence war war dehumanizes everyone times like need dissent ows occupy
anger,get face
anger,jack mad even madder american scandal magazine national enquirer although nothing new
sadness,harry going make miserable beyond measure go like
fear,heavy night last night last night joshsimpson drive back home work tomorrow
fear,child one day going home late night notice uncovered man hole fell several minutes
sadness,grandmother died long illness
anger,tell appointment
sadness,oooo sounds serious
anger,hot water building falling apart
sadness,wait minute really sorry find
sadness,truth mr wolski sad wish stay zoo longer
joy,maybe good things go hong kong take break take things easy
anger,think
joy,informed short story written accepted publication
joy,unexpectedly got present father
fear,two drug addicts tried take away money
joy,must old
fear,forgot lines play orientation camp
sadness,inconsolable found done
neutral,seats okay
joy,seemed happy
joy,time glad could help
sadness,real anguish eyes
joy,remember highly amused rendering young rook cry whilst gobbling worm perfectly true nature
neutral,basically sat told felt constant criticizing welcomed advice hoped let us things understood everything lot peaceful
sadness,general ye jianying died
joy,go well sweater
fear,police became increasingly concerned prisoner health weekend
sadness,sorry mum
fear,one night friends went cemetery stopped car front wall suddenly grave digger appeared wall looking like ghost already afraid almost died
neutral,believe industry making us wealthier
sadness,maybe still gets nerves
sadness,sorry overslept
sadness,hand important person cameraman wore jeans micky mouse shirt mournful deadpan moon face shone incongruously
anger,vacation therefore attend meeting day care centre nevertheless day came back called early morining ask going matter discussed meeting got angry
neutral,dance class know
fear,gone far met another lancaster returning cook tour horror two aircraft flew wing tip wing tip way home
joy,got home job found letter university telling admitted begin studies
joy,son returned mountaineering healthy body soul
fear,cave excursion friends suddenly lost afraid losing way cave
fear,someone attacked knife
neutral,yes
neutral,alright everything
sadness,friend breaking boyfriend
anger,stupid say
anger,mother told things sister told mother confindence
fear,relative died
fear,felt afraid dad fell ill never suffered disease since never seen
joy,lord light salvation shall fear fear option finally delighted happy
joy,like
joy,think might work well
sadness,grandfather died heard death bad feeling stomach felt lost something precious
sadness,feel sadness fact born better appearance
anger,corner shop patronise regularly note purchased worth goods really needed keeper made sarcastic remarks others people using cash notes
joy,suddenly found talking sort language us understand got quite excited
neutral,sure manager think
anger,wet dark fed
anger,could tell angry ready cry frankie pulled roughly back step turned leave
anger,angry someone stole magazine borrowed another friend locked drawer
sadness,thought going impossible start studying due wrong information student advisor
neutral,mom
joy,temperamental differences operate new trio junior heroes whose elders three lieutenants regard pranks mild amusement
anger,roommate unconsiderate
anger,friend mine promised arrange tickets concert considered important could get way thought would gave whole thing
neutral,okay
anger,icc chairman sir colin cowdrey left clearly furious every time ready make statement texaco trophy events august pakistan lawyers threatened writs
joy,looked excited
anger,murder
joy,delighted pleased see
joy,applause rang twirled around acknowledge demure delight clapping barman crushed ample bosom barman wife
anger,close friend first said accepted agreement later used agreement reason attacking
joy,ecstatic often ecstatic ecstasy flew face like sun mirror
joy,pleasure gourmet appreciation delicacies whereas happy person readily settle much simpler diet
sadness,living overseas city made decision leave city come home months met whole new set friends leaving airport sad traumatic helped many ways knew see many
sadness,exam failed
sadness,sorry
fear,nearly beaten brother girlfriend
joy,celebrations graduation day orchestra playing garden part orchestra
joy,quarrel followed decision leaving person close several days later regret great beside quite unexpectedly came conflict calmly solved glad possibility
joy,much trouble getting together first place boyfriend celebrated first anniversary
joy,blake says pleased firm improved performance acknowledging considerable efforts progress made
sadness,well really worried grades think course would stressful
joy,tango favorite anything hip hop foxtrot music stopped
fear,police sergeant revisited mr thompson still clearly worse drink agitated state
anger,icy tones offended bureaucrat replied future reference call mr hooton richard
joy,foolish exhilaration leaped tree spotted binoculars
sadness,glum look face probably normal
anger,others bit work group assignment task work
fear,driving car misty night alone car felt totally insecure nervous overstrained
fear,car came close hitting whilst crossing street
anger,laura normally full warm lips tightened annoyance
sadness,worse still trying avoid days
anger,recently sister four years younger spoiled shouted mother apparent reason heart broken expression mother face made feel angry
neutral,exactly twelve minutes past seven
anger,boyfriend lied
neutral,good luck
anger,tell girlfriend
sadness,read lot remember anything
joy,laughed showing white sharp teeth pleased joke
joy,found travel best friend
joy,delighted help museum extend collection said mr watson
fear,meanwhile crowe watching carnage unfold end increasing horror unfurled strokes class attempt ease situation
neutral,think lifelong learning concept never soon late learning
fear,time position secure ist class sc exam likely affect career
sadness,blowing saying wrong things realized done hurt person
sadness,bad day yesterday
sadness,event maman inconsolable
neutral,kobe
neutral,bragging
fear,frightened go sleep
neutral,ok
fear,went dog forest late night camping
anger,bajaj wanted get admission another college easy felt angry
fear,sitting cinema became anxious watching cold film know reason
anger,really idea know thought really curls hair
fear,cat ran car came home wounded could hardly walk dare go veterinarian afraid would kill
anger,oh gag totally gross
anger,tv news heard nicaragua complained increasing threat war usa
sadness,friend died
fear,order desire greater failure bill cosby
anger,believe wedding present us joanne hardly ever use
fear,emmeline grew pale horror bastide plight
neutral,yet
sadness,particularly sad mother opportunity buy even mc
fear,driving busy freeway rush hour slightly raining diesel truck coming close behind close behind pick changed lanes barely hit truck ran honda road scared death go back see caused crash
fear,unexpectedly residents chiswick became alarmed prospect acquisition proceeded properties proposed route
fear,felt last hour come unexpectedly found hands
sadness,yes took temperature last night degrees right feel fevers degrees
neutral,promise
anger,men shooting us importantly lie
sadness,let see sorry non smoking rooms charge room tonight
sadness,course knew fallen love another guy difficult see move quickly
sadness,small sad smile pulling mouth convinced would say thank goodbye took deep breath began read
fear,go ready marriage thinking thirty five years old got entire life ahead adventures waiting settle yet
joy,okay thanks help
anger,bellybutton said indignant voice though question impugned mcillvanney honour
neutral,bye ann
neutral,step office moment concern
anger,must stay swear oath shall kept
fear,mr rifkind written bsc chairman sir robert scholey asking assurances meeting anxious union leaders
anger,falling love although friend angry
neutral,heard government might need increase retirement age otherwise enough workers support young elderly
sadness,busy days seems never finish work
sadness,first got inkling little far worse none became melancholy miserable
anger,ruc men conducted police investigations fiercely indignant senior officer threatened resign
neutral,good boy
anger,simply help giving fish eye knew
joy,thanks full
sadness,experience families particularly carers go great anguish much pain heartache associated process
anger,intimate girlfriend told father opposed relationship insulted integrity
sadness,somewhere gloom accompanied raucous laughter much crudity young female voice began groan rise unintentionally mimicking anguish wounded soldier
fear,nearly attacked man chasing
joy,watched football match old friend performance team good team members full spirit match excellent every time goal scored felt excited
anger,grandfather never really liked anyway
neutral,yeah know friend need friend indeed need fair weather friends either
joy,august bride nice way going matron honor
fear,actually writing physics exam today
anger,insulted man
fear,turned laptop broke mean monitor went black
joy,still like olive one best tailor take sleeves
sadness,brazilian lover looking increasingly disconsolate
sadness,chosen go english lectures
fear,afraid exam colloquium
sadness,grief stricken widow refused leave dead husband side even crawled bed vain attempt infect disease
anger,last week friend mine called said moody difficult persuade got angry
fear,went apartment boyfriend saw people door thought something happened
fear,brother late arriving home work
anger,editor changed heading article written considered heading derogatory towards person written
fear,joined soudain gamble man scunny bookies call bespectacled death chris radford
joy,friend mine suggested become film extra idea seemed funny reaction seemed rather outlandish others
anger,car start stupid old car
anger,deserves proper thrashing cissie protested fiercely indignant unable defend cowardly brother took delight whipping
sadness,behaviour reverend prentice added anguish
anger,angry cafeteria cook scolded said many bad things without reason thought among girls wrong
anger,stand riding bus
sadness,broke girl understand loved
fear,let go fear time step plate
anger,father called behind mother back told mother disapproved behavior weekend however tell details left unanswered questions
sadness,oh steven made big mistake
anger,course silly girl went told livid nothing
anger,newcomers feel cold shouldered local population occasions become resentful almost tribal clannishness
joy,occurs frequently recent experience going many friends nice music examinations felt happy could embraced everybody
sadness,stood stoically hiding grief newlands announced received twelve votes
joy,days felt miserable distressed listless crying fits felt happy although special reason
anger,friend mine played joke another friend telephone friend crying called got angry made person apologize
sadness,records must based measurement subjective impressions number times parents felt depressed child behaviour
joy,well like collecting matchbox sure counts though
joy,chosen plan next family reunion
fear,friend going study session together quiz biology material believed study enough feared would fail
joy,audiences thrilled box office cash registers jingled careers made
sadness,miss van cheele terribly sad gabriel ernest
neutral,oh really great news look like
fear,father drinking feared went bed night
neutral,eh
joy,considered hours able overcome scruples call friend fallen love realized decision right glad
joy,happened went check first year results thought would fail found clear pass courses
neutral,usually get school
joy,look bye
joy,car
neutral,yes jane invited dinner new restaurant opened near us
sadness,julie devastated discover adopted sets find natural parents
sadness,bad good company
sadness,best friend failed exams leave got separated
anger,one minister miffed yesterday found seat occupied journalist talking fellow cabinet member meeting began
neutral,coco lee
sadness,flute teacher replaced new one
joy,sounds good
joy,admited chinese university hong kong day results announced looked newspaper saw candidature number
joy,good happy birthday
joy,sure thank inviting
neutral,liked
sadness,brother th family passed away
joy,broke jim miller let go indian whoop relief delighted grins spread across faces everyone group
sadness,girlfriend let badly times one week instances summed negative aspects relationship time seemed doomed fail
fear,ok call security
neutral,sorry know
fear,child heard floor cracking thought burglar house hid blanket trembled
anger,exactly
neutral,mixing cosmetic brands works goforit macmakeupla makeupjojo makeupbyeric cosmetichappy xo
anger,yes joined group bus tour morning promised journey last hours visit sightseeing spots
anger,mom wear helmet drive sane promise
sadness,uncle mine close passed away stroke first daughter could named
neutral,oh yes
fear,les mecs la sortie du metro gdn et qui attendent que tu passes pour degainer leur toupie lumineuse
anger,treats everyone pretty poorly way treats really takes cake
joy,going friend wedding seeing many old friends known moved new district five years previously
anger,men got resentful women working hours co op
neutral,wrong
sadness,believe guess ten tonight
neutral,forgive darling tired
joy,welcome birthday party happy come
sadness,sometimes think feel sad
joy,tell truth pleased russell sitting coach us
joy,started new branch studies failed former one got back exam papers happy know almost full marks
sadness,afraid
sadness,soon developed disillusion town death toll grew ended jubilant relief unmixed sorrow memory towns folk would return
anger,hairdresser got two stains dyestuff new trousers stains removable cannot put trousers
neutral,liked physics math really arcs curves velocity cool stuff
anger,serious zina back bottle pepper spray pocket
anger,paying
sadness,documentary baby fur seals clubbed spiked death canadian sealhunters brutally graphic description disfigured orphaned child hiroshima calling mother
neutral,stop wait lights turn green
anger,bummer set
joy,agreed go last
joy,black ball final ball pockets
neutral,never know shake hands tell something
fear,toes get chopped see cutting knife slip bench
joy,friend told really likes
anger,mother time trying separate good friend thought good company finally breakfast one day argument tried defend friend
sadness,found ability ordinary work worse fellow mates
joy,performance excellent
fear,slept short time woke feeling someone standing beside frightened turn light turn light several minutes able get sleep
joy,sure talking
fear,third group backbenchers concerned cross media ownership new channels bill
sadness,bad start day stuck bad traffic jam way missed morning meeting
anger,king furious tricked nothing pair animals
joy,well imagine old
sadness,succeded getting job translator wanted
fear,elaine voice concerned deep inside hoped would decide go party
neutral,sounds like pretty cute think
anger,oh great stupid computer froze third time today hey samuel come take look pc acting must virus something
anger,trust even handle simple plane reservations
joy,filled joy heard selected come kamuzu college nursing
fear,woke night find fire spreading towards bed rooms frightened realized faced death
joy,weekend homecoming saw sister first time months best friend extremely close
neutral,yeah yeah today lesson creation universe
neutral,well careful thanks letting know
fear,fear hurt relationship usually causes stay single fear getting attached person
fear,must haunted house frightened
anger,aunt scolded something responsible boy come gate asking aunt went see neither met known boy
fear,doris glad home terrified know
anger,made good living seemed resentful wife decision take lodger
sadness,close friend drowned american river
sadness,disappointed love girl made end relationship thought love
neutral,worry handle know boss even informal evening make good impression get totally drunk front
